agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q = 100,0,0,-704.0,-0.8745341614906832,805.0,805.0
Q = 100,0,1,-2155.0,-0.9349226804123711,2357.0,1552.0
Q = 100,0,2,-3007.0,-0.8940188877229801,3310.0,953.0
Q = 100,0,3,-6094.0,-0.9683186951066499,6498.0,3188.0
Q = 100,0,4,-6438.0,-0.7730337078651686,6943.0,445.0
Q = 100,0,5,-6568.0,-0.5627705627705628,7174.0,231.0
Q = 100,0,6,-6965.0,-0.7971887550200804,7672.0,498.0
Q = 100,0,7,-7778.0,-0.8894967177242888,8586.0,914.0
Q = 100,0,8,-8349.0,-0.8497023809523809,9258.0,672.0
Q = 100,0,9,-8353.0,-0.0380952380952381,9363.0,105.0
Q = 100,0,10,-8297.0,1.2444444444444445,9408.0,45.0
Q = 100,0,11,-8277.0,0.24691358024691357,9489.0,81.0
Q = 100,0,12,-8242.0,0.5303030303030303,9555.0,66.0
Q = 100,0,13,-8181.0,1.525,9595.0,40.0
Q = 100,0,14,-8161.0,0.24691358024691357,9676.0,81.0
Q = 100,0,15,-8102.0,1.4047619047619047,9718.0,42.0
Q = 100,0,16,-8071.0,0.44285714285714284,9788.0,70.0
Q = 100,0,17,-8018.0,1.1041666666666667,9836.0,48.0
Q = 100,0,18,-7998.0,0.24691358024691357,9917.0,81.0
Q = 100,0,19,-7964.0,0.5074626865671642,9984.0,67.0
Q = 100,0,20,-7916.0,0.9056603773584906,10037.0,53.0
Q = 100,0,21,-7880.0,0.5538461538461539,10102.0,65.0
Q = 100,0,22,-7898.0,-0.15126050420168066,10221.0,119.0
Q = 100,0,23,-7856.0,0.711864406779661,10280.0,59.0
Q = 100,0,24,-7857.0,-0.00980392156862745,10382.0,102.0
Q = 100,0,25,-8130.0,-0.7299465240641712,10756.0,374.0
Q = 100,0,26,-8560.0,-0.8097928436911488,11287.0,531.0
Q = 100,0,27,-9056.0,-0.830820770519263,11884.0,597.0
Q = 100,0,28,-10097.0,-0.9115586690017513,13026.0,1142.0
Q = 100,0,29,-10249.0,-0.6007905138339921,13279.0,253.0
Q = 100,0,30,-10449.0,-0.6644518272425249,13580.0,301.0
Q = 100,0,31,-10678.0,-0.693939393939394,13910.0,330.0
Q = 100,0,32,-10667.0,0.12222222222222222,14000.0,90.0
Q = 100,0,33,-10663.0,0.041237113402061855,14097.0,97.0
Q = 100,0,34,-10616.0,0.8703703703703703,14151.0,54.0
Q = 100,0,35,-10574.0,0.711864406779661,14210.0,59.0
Q = 100,0,36,-10543.0,0.44285714285714284,14280.0,70.0
Q = 100,0,37,-10524.0,0.23170731707317074,14362.0,82.0
Q = 100,0,38,-10482.0,0.711864406779661,14421.0,59.0
Q = 100,0,39,-10412.0,2.2580645161290325,14452.0,31.0
Q = 100,0,40,-10359.0,1.1041666666666667,14500.0,48.0
Q = 100,0,41,-10287.0,2.4827586206896552,14529.0,29.0
Q = 100,0,42,-10226.0,1.525,14569.0,40.0
Q = 100,0,43,-10159.0,1.9705882352941178,14603.0,34.0
Q = 100,0,44,-10124.0,0.5303030303030303,14669.0,66.0
Q = 100,0,45,-10056.0,2.0606060606060606,14702.0,33.0
Q = 100,0,46,-10010.0,0.8363636363636363,14757.0,55.0
Q = 100,0,47,-9951.0,1.4047619047619047,14799.0,42.0
Q = 100,0,48,-9888.0,1.6578947368421053,14837.0,38.0
Q = 100,0,49,-9864.0,0.3116883116883117,14914.0,77.0
Q = 100,0,50,-9842.0,0.27848101265822783,14993.0,79.0
Q = 100,0,51,-9775.0,1.9705882352941178,15027.0,34.0
Q = 100,0,52,-9724.0,1.02,15077.0,50.0
Q = 100,0,53,-9645.0,3.590909090909091,15099.0,22.0
Q = 100,0,54,-9572.0,2.607142857142857,15127.0,28.0
Q = 100,0,55,-9537.0,0.5303030303030303,15193.0,66.0
Q = 100,0,56,-9460.0,3.2083333333333335,15217.0,24.0
Q = 100,0,57,-9381.0,3.590909090909091,15239.0,22.0
Q = 100,0,58,-9322.0,1.4047619047619047,15281.0,42.0
Q = 100,0,59,-9264.0,1.3488372093023255,15324.0,43.0
Q = 100,0,60,-9194.0,2.2580645161290325,15355.0,31.0
Q = 100,0,61,-9138.0,1.2444444444444445,15400.0,45.0
Q = 100,0,62,-9078.0,1.4634146341463414,15441.0,41.0
Q = 100,0,63,-9029.0,0.9423076923076923,15493.0,52.0
Q = 100,0,64,-8982.0,0.8703703703703703,15547.0,54.0
Q = 100,0,65,-8939.0,0.7413793103448276,15605.0,58.0
Q = 100,0,66,-8879.0,1.4634146341463414,15646.0,41.0
Q = 100,0,67,-8807.0,2.4827586206896552,15675.0,29.0
Q = 100,0,68,-8734.0,2.607142857142857,15703.0,28.0
Q = 100,0,69,-8657.0,3.2083333333333335,15727.0,24.0
Q = 100,0,70,-8587.0,2.2580645161290325,15758.0,31.0
Q = 100,0,71,-8531.0,1.2444444444444445,15803.0,45.0
Q = 100,0,72,-8461.0,2.2580645161290325,15834.0,31.0
Q = 100,0,73,-8392.0,2.15625,15866.0,32.0
Q = 100,0,74,-8404.0,-0.10619469026548672,15979.0,113.0
Q = 100,0,75,-8340.0,1.7297297297297298,16016.0,37.0
Q = 100,0,76,-8278.0,1.5897435897435896,16055.0,39.0
Q = 100,0,77,-8205.0,2.607142857142857,16083.0,28.0
Q = 100,0,78,-8161.0,0.7719298245614035,16140.0,57.0
Q = 100,0,79,-8101.0,1.4634146341463414,16181.0,41.0
Q = 100,0,80,-8093.0,0.08602150537634409,16274.0,93.0
Q = 100,0,81,-8019.0,2.740740740740741,16301.0,27.0
Q = 100,0,82,-7950.0,2.15625,16333.0,32.0
Q = 100,0,83,-7873.0,3.2083333333333335,16357.0,24.0
Q = 100,0,84,-7802.0,2.3666666666666667,16387.0,30.0
Q = 100,0,85,-7733.0,2.15625,16419.0,32.0
Q = 100,0,86,-7659.0,2.740740740740741,16446.0,27.0
Q = 100,0,87,-7634.0,0.32894736842105265,16522.0,76.0
Q = 100,0,88,-7559.0,2.8846153846153846,16548.0,26.0
Q = 100,0,89,-7494.0,1.8055555555555556,16584.0,36.0
Q = 100,0,90,-7431.0,1.6578947368421053,16622.0,38.0
Q = 100,0,91,-7366.0,1.8055555555555556,16658.0,36.0
Q = 100,0,92,-7291.0,2.8846153846153846,16684.0,26.0
Q = 100,0,93,-7241.0,0.9803921568627451,16735.0,51.0
Q = 100,0,94,-7175.0,1.8857142857142857,16770.0,35.0
Q = 100,0,95,-7131.0,0.7719298245614035,16827.0,57.0
Q = 100,0,96,-7074.0,1.2954545454545454,16871.0,44.0
Q = 100,0,97,-7004.0,2.2580645161290325,16902.0,31.0
Q = 100,0,98,-6931.0,2.607142857142857,16930.0,28.0
